"animal" "trt_date" "trt_code"
58 2004-07-23 117
58 2004-07-23 117
58 2004-08-13 117
60 2003-05-27 117
62 2003-02-27 117
62 2003-07-14 117
63 2004-08-13 117
63 2004-08-24 117
63 2004-11-17 117
63 2005-03-23 117
66 2003-05-18 117
70 2004-03-18 117
70 2005-04-05 117
72 2004-03-31 117
72 2004-04-18 117
72 2004-11-15 117
73 2004-04-16 117
73 2004-07-23 117
73 2005-01-31 117
73 2005-01-10 117
73 2003-10-29 117
77 2003-06-04 117
77 2003-06-12 117
77 2003-08-27 117
77 2004-08-07 117
77 2004-08-10 117
79 2006-06-26 117
79 2005-10-12 117
79 2006-06-26 117
79 2006-06-26 117
81 2005-07-22 117
81 2005-07-22 117
85 2003-06-02 117
90 2003-09-03 117
90 2005-05-04 117
90 2005-06-09 117
90 2005-06-09 117
90 2005-06-09 117
92 2003-09-30 117
92 2004-05-30 117
92 2004-07-05 117
92 2005-04-07 117
94 2003-12-11 117
94 2003-12-11 117
94 2003-09-03 117
95 2004-09-17 117
95 2005-01-31 117
95 2005-01-31 117
95 2005-02-01 117
95 2005-04-27 117
95 2005-04-27 117
99 2003-09-16 117
99 2003-09-16 117
100 2004-11-26 117
100 2005-11-01 117
100 2005-06-20 117
103 2003-09-25 117
103 2003-09-03 117
106 2003-10-09 117
107 2003-09-09 117
107 2005-02-17 117
107 2003-09-03 117
109 2003-05-28 117
109 2003-08-04 117
109 2003-08-07 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-02-02 117
109 2004-07-15 117
109 2004-07-30 117
109 2003-09-03 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-14 117
113 2004-12-08 117
113 2004-12-08 117
113 2005-01-03 117
114 2003-09-26 117
114 2004-08-22 117
114 2004-03-17 117
114 2005-07-18 117
114 2005-07-18 117
114 2005-07-18 117
114 2005-08-15 117
114 2005-08-15 117
114 2004-03-18 117
120 2003-05-19 117
120 2003-06-25 117
120 2005-03-22 117
120 2006-06-28 117
121 2004-05-14 117
122 2005-09-24 117
122 2006-06-21 117
122 2005-09-23 117
125 2003-10-15 117
125 2003-11-20 117
126 2006-07-20 117
126 2006-10-16 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-03-16 117
134 2004-10-26 117
134 2005-03-02 117
140 2005-01-07 117
141 2004-08-16 117
141 2004-08-16 117
142 2005-10-20 117
142 2005-10-19 117
142 2005-10-19 117
142 2005-10-19 117
143 2003-09-26 117
143 2006-06-23 117
144 2004-02-02 117
144 2004-01-29 117
145 2005-02-23 117
146 2004-02-18 117
147 2006-03-22 117
147 2006-03-22 117
155 2004-11-26 117
155 2004-12-27 117
155 2004-06-28 117
157 2004-02-11 117
157 2004-10-16 117
157 2004-10-22 117
157 2005-02-14 117
157 2005-03-14 117
157 2005-03-14 117
157 2005-04-15 117
157 2005-04-18 117
157 2004-03-16 117
158 2004-10-26 117
159 2005-03-09 117
161 2005-02-23 117
161 2005-01-10 117
161 2005-10-05 117
163 2003-09-08 117
163 2003-09-08 117
163 2006-08-28 117
163 2006-08-29 117
163 2006-08-25 117
163 2005-10-12 117
168 2005-03-09 117
168 2005-12-21 117
168 2005-12-21 117
169 2004-07-23 117
173 2004-06-23 117
173 2005-04-01 117
173 2005-04-01 117
173 2005-04-01 117
185 2004-03-17 117
185 2004-03-17 117
185 2004-03-18 117
185 2005-02-14 117
186 2004-08-10 117
186 2005-08-06 117
186 2005-08-05 117
186 2006-05-31 117
186 2006-05-31 117
186 2006-05-31 117
186 2006-05-31 117
188 2005-07-12 117
188 2005-09-01 117
188 2005-09-01 117
189 2004-02-03 117
189 2005-02-14 117
189 2005-03-23 117
189 2004-03-16 117
191 2004-06-28 117
193 2006-07-02 117
193 2006-07-02 117
193 2006-07-02 117
193 2006-01-04 117
195 2004-06-21 117
195 2004-07-02 117
197 2006-08-14 117
197 2006-08-14 117
197 2006-08-14 117
197 2006-08-29 117
197 2006-08-29 117
203 2004-04-07 117
203 2005-03-16 117
216 2004-07-23 117
216 2004-07-23 117
216 2005-10-10 117
216 2005-07-28 117
224 2003-09-09 117
224 2004-09-14 117
225 2005-06-23 117
225 2005-06-24 117
225 2005-07-27 117
228 2005-08-08 117
228 2005-12-21 117
228 2005-07-28 117
237 2005-04-05 117
237 2006-06-28 117
237 2006-06-28 117
239 2005-03-31 117
239 2005-01-07 117
241 2004-07-02 117
242 2005-05-24 117
242 2006-04-10 117
242 2006-04-10 117
249 2005-06-03 117
251 2005-01-28 117
251 2005-09-02 117
251 2005-09-15 117
251 2005-10-24 117
251 2005-10-24 117
251 2006-05-11 117
257 2004-06-16 117
257 2004-07-01 117
260 2005-09-05 117
260 2005-06-14 117
260 2005-10-24 117
260 2005-10-24 117
269 2005-05-03 117
269 2005-05-03 117
282 2004-10-29 117
282 2004-10-29 117
282 2004-10-30 117
282 2004-11-15 117
282 2006-01-23 117
283 2004-08-16 117
286 2005-03-03 117
286 2005-03-23 117
287 2005-04-05 117
291 2006-06-29 117
291 2006-07-28 117
303 2004-10-18 117
303 2004-11-22 117
311 2005-03-09 117
311 2005-03-09 117
311 2006-04-10 117
311 2006-04-10 117
312 2005-10-06 117
312 2005-10-06 117
312 2005-10-10 117
313 2006-09-20 117
313 2006-01-04 117
316 2006-03-22 117
316 2006-05-11 117
316 2006-03-22 117
316 2006-05-13 117
316 2006-01-10 117
316 2006-01-10 117
324 2005-02-23 117
324 2005-09-05 117
324 2005-07-28 117
324 2005-07-28 117
327 2005-01-28 117
327 2006-01-15 117
327 2005-12-22 117
332 2005-03-03 117
332 2005-03-03 117
332 2005-04-06 117
344 2005-06-20 117
347 2005-03-09 117
347 2005-03-09 117
347 2005-09-15 117
347 2005-07-18 117
347 2006-08-18 117
352 2005-04-07 117
352 2005-12-19 117
352 2005-12-19 117
352 2006-06-14 117
352 2006-06-14 117
352 2006-06-14 117
354 2004-12-25 117
354 2005-03-09 117
354 2005-03-09 117
354 2005-04-12 117
354 2005-01-20 117
355 2005-01-20 117
355 2005-01-20 117
356 2006-10-31 117
366 2005-01-14 117
366 2006-08-01 117
367 2005-01-06 117
370 2005-02-17 117
370 2006-08-18 117
379 2005-04-01 117
381 2005-01-25 117
381 2005-01-26 117
381 2005-06-27 117
381 2006-03-24 117
381 2006-08-01 117
381 2006-03-24 117
381 2006-03-24 117
381 2006-08-01 117
383 2005-02-14 117
383 2005-04-05 117
386 2005-03-07 117
386 2006-10-26 117
386 2006-06-21 117
389 2005-06-14 117
389 2005-06-14 117
389 2006-07-17 117
402 2005-05-27 117
402 2005-11-15 117
402 2006-06-21 117
402 2005-11-16 117
412 2005-07-28 117
419 2005-05-03 117
419 2006-02-09 117
426 2006-02-03 117
426 2006-02-03 117
426 2006-09-18 117
430 2005-06-15 117
430 2005-06-14 117
436 2005-08-18 117
438 2005-06-18 117
438 2005-06-18 117
452 2005-07-01 117
452 2005-07-04 117
452 2006-03-30 117
452 2006-03-30 117
452 2006-06-09 117
452 2006-06-09 117
452 2006-06-09 117
455 2005-07-12 117
457 2005-06-15 117
466 2006-05-06 117
469 2005-11-13 117
471 2005-12-19 117
471 2005-07-26 117
473 2005-09-01 117
476 2005-07-12 117
483 2005-11-01 117
483 2005-11-01 117
484 2006-02-21 117
492 2006-04-19 117
492 2006-04-19 117
497 2005-11-12 117
497 2005-08-19 117
510 2005-12-22 117
514 2005-12-08 117
519 2005-10-27 117
524 2006-01-12 117
531 2006-02-13 117
533 2006-01-09 117
533 2006-01-12 117
533 2006-06-06 117
538 2006-03-06 117
557 2006-02-20 117
566 2006-01-09 117
587 2006-05-01 117
587 2006-05-01 117
604 2006-09-07 117
615 2006-07-01 117
661 2006-09-09 117
665 2006-07-08 117
701 2006-08-15 117
