"family.id" "animal.id" "vessel" "date" "length" "weight" "sex" "month"
2003004 2310 36 16034 28.20 0.3359 "f"  8
2003004 2310 36 16055 30.30 0.4369 "f"  9
2003004 2310 36 16106 37.95 0.9304 "f" 11
2003004 2312 36 15942 16.50 0.0653 "f"  5
2003004 2312 36 15970 20.90 0.1458 "f"  6
2003004 2312 36 16008 25.30 0.2330 "f"  7
2003004 2312 36 16034 27.50 0.2880 "f"  8
2003004 2312 36 16055 29.40 0.3692 "f"  9
2003004 2312 36 16106 36.25 0.7878 "f" 11
2003004 2313 16 15942 14.80 0.0411 "f"  5
2003004 2313 16 15972 19.80 0.1064 "f"  6
2003004 2313 16 16007 25.40 0.2012 "f"  7
2003004 2313 16 16033 27.40 0.2931 "f"  8
2003004 2313 16 16054 30.30 0.4006 "f"  9
2003004 2313 16 16110 37.95 0.8207 "f" 11
2003004 2315 16 15942 14.60 0.0457 "f"  5
2003004 2315 16 15971 17.80 0.0860 "f"  6
2003004 2315 16 16007 21.80 0.1594 "f"  7
2003004 2315 16 16033 24.40 0.2249 "f"  8
2003004 2315 16 16054 27.30 0.3256 "f"  9
2003004 2315 16 16110 34.50 0.6758 "f" 11
2003004 2316 36 15942 12.40 0.0257 "f"  5
2003004 2316 36 15970 16.40 0.0660 "f"  6
2003004 2316 36 16009 20.60 0.1241 "f"  7
2003004 2316 36 16034 23.40 0.1830 "f"  8
2003004 2316 36 16055 25.80 0.2628 "f"  9
2003004 2316 36 16106 33.15 0.6266 "f" 11
2003004 2317  7 15942 13.90 0.0360 "f"  5
2003004 2317  7 15971 18.00 0.0808 "f"  6
2003004 2317  7 16008 22.20 0.1422 "f"  7
2003004 2317  7 16034 24.50 0.1966 "f"  8
2003004 2317  7 16055 26.70 0.2765 "f"  9
2003004 2317  7 16105 34.15 0.6329 "f" 11
2003004 2318 36 15942 11.50 0.0202 "m"  5
2003004 2318 36 15970 15.60 0.0554 "m"  6
2003004 2318 36 16009 19.90 0.1025 "m"  7
2003004 2318 36 16034 22.80 0.1602 "m"  8
2003004 2318 36 16055 25.90 0.2654 "m"  9
2003004 2318 36 16106 34.40 0.6700 "m" 11
2003004 2320 36 15942 15.90 0.0545 "m"  5
2003004 2320 36 15970 20.50 0.1291 "m"  6
2003004 2320 36 16009 25.40 0.2380 "m"  7
2003004 2320 36 16034 28.50 0.3520 "m"  8
2003004 2320 36 16055 30.80 0.4637 "m"  9
2003004 2320 36 16106 38.00 0.9781 "m" 11
2003004 2321  7 15942 15.60 0.0566 "m"  5
2003004 2321  7 15971 20.30 0.1274 "m"  6
2003004 2321  7 16008 24.20 0.2009 "m"  7
2003004 2321  7 16034 26.90 0.2883 "m"  8
2003004 2321  7 16055 29.40 0.3987 "m"  9
2003004 2321  7 16105 36.60 0.8800 "m" 11
2003004 2322 16 15942 14.00 0.0392 "f"  5
2003004 2322 16 15971 18.20 0.0925 "f"  6
2003004 2322 16 16007 22.30 0.1721 "f"  7
2003004 2322 16 16033 25.00 0.2550 "f"  8
2003004 2322 16 16054 28.10 0.3523 "f"  9
2003004 2322 16 16111 35.50 0.7541 "f" 11
2003004 2323  7 15942 14.10 0.0360 "m"  5
2003004 2323  7 15971 18.00 0.0775 "m"  6
2003004 2323  7 16008 21.60 0.1264 "m"  7
2003004 2323  7 16034 24.10 0.1763 "m"  8
2003004 2323  7 16055 26.10 0.2362 "m"  9
2003004 2323  7 16105 33.50 0.5648 "m" 11
2003004 2325 36 15942 14.10 0.0392 "m"  5
2003004 2325 36 15970 18.40 0.0945 "m"  6
2003004 2325 36 16009 22.50 0.1626 "m"  7
2003004 2325 36 16034 25.40 0.2391 "m"  8
2003004 2325 36 16055 27.90 0.3332 "m"  9
2003004 2325 36 16106 34.70 0.7211 "m" 11
2003004 2330  7 15942 12.40 0.0224 "m"  5
2003004 2330  7 15971 16.90 0.0617 "m"  6
2003004 2330  7 16008 21.20 0.1127 "m"  7
2003004 2330  7 16034 24.30 0.1776 "m"  8
2003004 2330  7 16055 28.10 0.2906 "m"  9
2003004 2330  7 16105 37.30 0.7570 "m" 11
2003004 2331 16 15942 12.80 0.0273 "f"  5
2003004 2331 16 15972 16.50 0.0617 "f"  6
2003004 2331 16 16007 19.00 0.0937 "f"  7
2003004 2331 16 16033 20.50 0.1203 "f"  8
2003004 2331 16 16054 22.20 0.1753 "f"  9
2003004 2331 16 16111 29.00 0.4155 "f" 11
2003004 2333 36 15942 15.80 0.0540 "m"  5
2003004 2333 36 15970 20.40 0.1267 "m"  6
2003004 2333 36 16009 25.00 0.2181 "m"  7
2003004 2333 36 16034 27.50 0.3091 "m"  8
2003004 2333 36 16055 30.50 0.4261 "m"  9
2003004 2333 36 16106 44.10 0.9547 "m" 11
2003004 2334 16 15942 15.10 0.0463 "f"  5
2003004 2334 16 15971 19.30 0.1040 "f"  6
2003004 2334 16 16007 22.90 0.1811 "f"  7
2003004 2334 16 16033 26.20 0.2676 "f"  8
2003004 2334 16 16054 28.60 0.3760 "f"  9
2003004 2334 16 16111 36.40 0.7745 "f" 11
2003004 2336  7 15942 15.70 0.0434 "f"  5
2003004 2336  7 15971 18.60 0.0901 "f"  6
2003004 2336  7 16008 21.70 0.1404 "f"  7
2003004 2336  7 16034 24.20 0.1953 "f"  8
2003004 2336  7 16055 26.60 0.2727 "f"  9
2003004 2336  7 16105 33.25 0.5990 "f" 11
2003004 2337 36 15942 13.30 0.0302 "m"  5
2003004 2337 36 15970 17.30 0.0812 "m"  6
2003004 2337 36 16009 22.00 0.1370 "m"  7
2003004 2337 36 16034 24.60 0.2083 "m"  8
2003004 2337 36 16055 27.60 0.3163 "m"  9
2003004 2337 36 16106 35.10 0.7192 "m" 11
2003004 2338 16 15942 17.00 0.0665 "m"  5
2003004 2338 16 15971 21.20 0.1476 "m"  6
2003004 2338 16 16007 25.80 0.2585 "m"  7
2003004 2338 16 16033 28.80 0.3733 "m"  8
2003004 2338 16 16054 30.60 0.4506 "m"  9
2003004 2338 16 16111 37.70 0.8226 "m" 11
2003004 2340 16 15942 15.30 0.0487 "m"  5
2003004 2340 16 15971 19.90 0.1118 "m"  6
2003004 2340 16 16007 23.80 0.1917 "m"  7
2003004 2340 16 16054 29.20 0.3864 "m"  9
2003004 2340 16 16110 37.25 0.8264 "m" 11
2003004 2341 16 15942 13.30 0.0337 "m"  5
2003004 2341 16 15972 17.60 0.0791 "m"  6
2003004 2341 16 16007 20.30 0.1478 "m"  7
2003004 2341 16 16033 24.00 0.2049 "m"  8
2003004 2341 16 16054 26.50 0.2955 "m"  9
2003004 2341 16 16110 34.60 0.6745 "m" 11
2003004 2343  7 15942 14.10 0.0401 "f"  5
2003004 2343  7 15971 18.60 0.1034 "f"  6
2003004 2343  7 16008 23.00 0.1910 "f"  7
2003004 2343  7 16034 25.90 0.2798 "f"  8
2003004 2343  7 16055 27.80 0.3649 "f"  9
2003004 2343  7 16105 32.45 0.6318 "f" 11
2003004 2348 36 15942 15.30 0.0516 "m"  5
2003004 2348 36 15970 19.60 0.1197 "m"  6
2003004 2348 36 16009 24.30 0.2134 "m"  7
2003004 2348 36 16034 27.20 0.2918 "m"  8
2003004 2348 36 16055 29.20 0.3834 "m"  9
2003004 2348 36 16106 36.05 0.7993 "m" 11
2003004 2349 36 15942 16.40 0.0568 "f"  5
2003004 2349 36 15970 21.00 0.1304 "f"  6
2003004 2349 36 16008 24.60 0.2230 "f"  7
2003004 2349 36 16034 28.10 0.2841 "f"  8
2003004 2349 36 16055 29.60 0.3433 "f"  9
2003004 2349 36 16106 32.00 0.7683 "f" 11
2003004 2350 36 15942 13.80 0.0324 "f"  5
2003004 2350 36 15970 18.00 0.0841 "f"  6
2003004 2350 36 16009 22.30 0.1470 "f"  7
2003004 2350 36 16034 25.10 0.2154 "f"  8
2003004 2350 36 16055 27.20 0.2990 "f"  9
2003004 2350 36 16106 34.05 0.5827 "f" 11
2003004 2351 16 15942 14.90 0.0437 "m"  5
2003004 2351 16 15971 18.50 0.0941 "m"  6
2003004 2351 16 16007 21.80 0.1654 "m"  7
2003004 2351 16 16033 24.90 0.2390 "m"  8
2003004 2351 16 16054 27.20 0.3048 "m"  9
2003004 2351 16 16110 34.50 0.6560 "m" 11
2003004 2352 16 15942 14.20 0.0387 "m"  5
2003004 2352 16 15971 18.80 0.0913 "m"  6
2003004 2352 16 16007 22.80 0.1590 "m"  7
2003004 2352 16 16033 25.50 0.2206 "m"  8
2003004 2352 16 16054 28.00 0.3142 "m"  9
2003004 2352 16 16110 36.10 0.7135 "m" 11
2003004 2353  7 15942 14.40 0.0383 "f"  5
2003004 2353  7 15971 18.50 0.0902 "f"  6
2003004 2353  7 16008 22.60 0.1644 "f"  7
2003004 2353  7 16034 25.20 0.2317 "f"  8
2003004 2353  7 16055 28.10 0.3435 "f"  9
2003004 2353  7 16105 36.15 0.8132 "f" 11
2003004 2354 36 15942 12.20 0.0247 "f"  5
2003004 2354 36 15970 16.00 0.0666 "f"  6
2003004 2354 36 16009 20.10 0.1122 "f"  7
2003004 2354 36 16034 23.40 0.1821 "f"  8
2003004 2354 36 16055 26.30 0.2707 "f"  9
2003004 2354 36 16106 35.00 0.6753 "f" 11
2003004 2355 36 15942 16.30 0.0609 "f"  5
2003004 2355 36 15970 20.80 0.1455 "f"  6
2003004 2355 36 16008 25.10 0.2446 "f"  7
2003004 2355 36 16034 28.00 0.3437 "f"  8
2003004 2355 36 16055 30.50 0.4552 "f"  9
2003004 2355 36 16106 36.85 0.8860 "f" 11
2003004 2356 36 15942 14.30 0.0402 "m"  5
2003004 2356 36 15970 18.60 0.1034 "m"  6
2003004 2356 36 16009 22.30 0.1988 "m"  7
2003004 2356 36 16034 25.90 0.2728 "m"  8
2003004 2356 36 16055 29.00 0.4045 "m"  9
2003004 2356 36 16106 34.50 0.6377 "m" 11
2003004 2357 16 15942 14.00 0.0440 "m"  5
2003004 2357 16 15971 17.70 0.0987 "m"  6
2003004 2357 16 16007 20.80 0.1588 "m"  7
2003004 2357 16 16033 22.50 0.2013 "m"  8
2003004 2357 16 16054 24.00 0.2684 "m"  9
2003004 2357 16 16110 30.60 0.6123 "m" 11
2003004 2358 36 15942 15.00 0.0438 "f"  5
2003004 2358 36 15970 19.50 0.1124 "f"  6
2003004 2358 36 16009 24.20 0.1858 "f"  7
2003004 2358 36 16034 26.90 0.2562 "f"  8
2003004 2358 36 16055 29.60 0.3406 "f"  9
2003004 2358 36 16106 37.10 0.7965 "f" 11
2003004 2361 36 15942 13.90 0.0380 "f"  5
2003004 2361 36 15970 17.60 0.1299 "f"  6
2003004 2361 36 16008 22.00 0.1536 "f"  7
2003004 2361 36 16034 25.10 0.2333 "f"  8
2003004 2361 36 16055 28.00 0.3393 "f"  9
2003004 2361 36 16106 35.45 0.7845 "f" 11
2003004 2362  7 15942 14.20 0.0366 "f"  5
2003004 2362  7 15971 18.60 0.0940 "f"  6
2003004 2362  7 16008 23.10 0.1721 "f"  7
2003004 2362  7 16034 26.10 0.2505 "f"  8
2003004 2362  7 16055 28.90 0.3423 "f"  9
2003004 2362  7 16105 33.50 0.5342 "f" 11
2003004 2363 36 15942 15.70 0.0522 "m"  5
2003004 2363 36 15970 20.30 0.1298 "m"  6
2003004 2363 36 16009 24.80 0.2163 "m"  7
2003004 2363 36 16034 27.90 0.3063 "m"  8
2003004 2363 36 16055 30.40 0.4226 "m"  9
2003004 2363 36 16106 37.45 0.8787 "m" 11
2003004 2365 16 15942 14.70 0.0423 "f"  5
2003004 2365 16 15972 18.50 0.0909 "f"  6
2003004 2365 16 16007 21.70 0.1487 "f"  7
2003004 2365 16 16033 24.10 0.1958 "f"  8
2003004 2365 16 16054 26.90 0.2832 "f"  9
2003004 2365 16 16110 34.00 0.5852 "f" 11
2003004 2366  7 15942 13.90 0.0348 "f"  5
2003004 2366  7 15971 18.80 0.0927 "f"  6
2003004 2366  7 16008 23.00 0.1579 "f"  7
2003004 2366  7 16034 26.00 0.2331 "f"  8
2003004 2366  7 16055 28.90 0.3396 "f"  9
2003004 2366  7 16105 36.75 0.8188 "f" 11
2003004 2367  7 15942 12.00 0.0227 "f"  5
2003004 2367  7 15971 15.60 0.0576 "f"  6
2003004 2367  7 16008 19.20 0.1097 "f"  7
2003004 2367  7 16034 22.20 0.1685 "f"  8
2003004 2367  7 16055 25.00 0.2603 "f"  9
2003004 2367  7 16105 32.40 0.6246 "f" 11
2003004 2368 36 15942 15.30 0.0502 "m"  5
2003004 2368 36 15970 20.10 0.1254 "m"  6
2003004 2368 36 16009 24.40 0.2152 "m"  7
2003004 2368 36 16034 27.20 0.2869 "m"  8
2003004 2368 36 16055 29.20 0.3772 "m"  9
2003004 2368 36 16106 36.20 0.8022 "m" 11
2003004 2369 16 15942 15.90 0.0580 "m"  5
2003004 2369 16 15971 20.10 0.1246 "m"  6
2003004 2369 16 16007 24.10 0.2183 "m"  7
2003004 2369 16 16033 27.40 0.3176 "m"  8
2003004 2369 16 16054 29.80 0.4238 "m"  9
2003004 2369 16 16111 36.80 0.8441 "m" 11
2003004 2370 36 15942 12.30 0.0246 "f"  5
2003004 2370 36 15970 15.80 0.0576 "f"  6
2003004 2370 36 16009 19.90 0.1009 "f"  7
2003004 2370 36 16034 22.90 0.1529 "f"  8
2003004 2370 36 16055 25.10 0.2253 "f"  9
2003004 2370 36 16106 31.85 0.4903 "f" 11
2003004 2371 16 15942 14.40 0.0412 "f"  5
2003004 2371 16 15971 18.10 0.0888 "f"  6
2003004 2371 16 16007 21.60 0.1545 "f"  7
2003004 2371 16 16033 25.00 0.2301 "f"  8
2003004 2371 16 16054 27.90 0.3438 "f"  9
2003004 2371 16 16111 35.50 0.7396 "f" 11
2003004 2372 36 15942 14.20 0.0385 "f"  5
2003004 2372 36 15970 18.40 0.0932 "f"  6
2003004 2372 36 16009 22.90 0.1649 "f"  7
2003004 2372 36 16034 25.90 0.2417 "f"  8
2003004 2372 36 16055 28.30 0.3476 "f"  9
2003004 2372 36 16106 35.40 0.7708 "f" 11
2003004 2373 36 15942 17.20 0.0738 "m"  5
2003004 2373 36 15970 21.90 0.1857 "m"  6
2003004 2373 36 16009 25.80 0.2860 "m"  7
2003004 2373 36 16034 26.40 0.2782 "m"  8
2003004 2373 36 16055 28.00 0.3263 "m"  9
2003004 2373 36 16106 36.05 0.7955 "m" 11
2003004 2374 16 15942 14.20 0.0387 "m"  5
2003004 2374 16 15971 18.60 0.0880 "m"  6
2003004 2374 16 16007 22.40 0.1532 "m"  7
2003004 2374 16 16033 25.30 0.2249 "m"  8
2003004 2374 16 16054 27.50 0.3144 "m"  9
2003004 2374 16 16111 34.00 0.6176 "m" 11
2003004 2375 16 15942 15.00 0.0464 "f"  5
2003004 2375 16 15971 18.90 0.1020 "f"  6
2003004 2375 16 16007 22.40 0.1741 "f"  7
2003004 2375 16 16033 25.30 0.2519 "f"  8
2003004 2375 16 16054 28.40 0.3651 "f"  9
2003004 2375 16 16111 36.00 0.8364 "f" 11
