"cow_no" "milk_date" "dfc" "yield"
100 2004-09-07 133 11817
100 2004-09-08 134 10004
100 2004-09-08 134 13989
100 2004-09-08 134 10190
100 2004-09-09 135 10461
100 2004-09-10 136 9580
100 2004-09-10 136 13115
100 2004-09-10 136 10329
100 2004-09-11 137 9059
100 2004-09-11 137 13142
100 2004-09-11 137 9440
100 2004-09-12 138 8777
100 2004-09-13 139 13059
100 2004-09-13 139 12099
100 2004-09-14 140 8681
100 2004-09-14 140 9765
100 2004-09-14 140 10088
100 2004-09-14 140 7603
100 2004-09-15 141 14539
100 2004-09-15 141 10360
100 2004-09-16 142 9627
100 2004-09-16 142 10019
100 2004-09-16 142 10685
100 2004-09-16 142 6214
100 2004-09-17 143 12870
100 2004-09-17 143 9977
100 2004-09-17 143 9303
100 2004-09-18 144 14219
100 2004-09-18 144 9337
100 2004-09-19 145 9695
100 2004-09-19 145 12259
100 2004-09-19 145 8195
100 2004-09-20 146 9079
100 2004-09-20 146 14051
100 2004-09-20 146 9208
100 2004-09-21 147 7386
100 2004-09-21 147 9858
100 2004-09-21 147 6345
100 2004-09-21 147 10014
100 2004-09-22 148 7206
100 2004-09-22 148 13828
100 2004-09-22 148 11526
100 2004-09-23 149 10541
100 2004-09-23 149 11486
100 2004-09-23 149 7806
100 2004-09-24 150 10457
100 2004-09-24 150 13232
100 2004-09-25 151 9182
100 2004-09-25 151 12715
100 2004-09-25 151 8784
100 2004-09-26 152 7914
100 2004-09-26 152 9233
100 2004-09-26 152 7574
100 2004-09-26 152 10373
100 2004-09-27 153 8065
100 2004-09-27 153 10171
100 2004-09-27 153 9829
100 2004-09-28 154 8408
100 2004-09-28 154 10090
100 2004-09-28 154 6913
100 2004-09-29 155 8607
100 2004-09-29 155 8326
100 2004-09-29 155 7802
100 2004-09-29 155 8559
100 2004-09-30 156 9294
100 2004-09-30 156 10274
100 2004-09-30 156 10600
100 2004-10-01 157 7929
100 2004-10-01 157 9297
100 2004-10-01 157 8115
100 2004-10-02 158 8320
100 2004-10-03 159 9066
100 2004-10-03 159 7194
100 2004-10-03 159 10195
100 2004-10-04 160 9896
100 2004-10-04 160 11952
100 2004-10-04 160 8060
100 2004-10-05 161 8046
100 2004-10-05 161 8432
100 2004-10-05 161 9214
100 2004-10-05 161 8635
100 2004-10-06 162 10124
100 2004-10-06 162 10294
100 2004-10-06 162 8235
100 2004-10-07 163 10386
100 2004-10-07 163 10474
100 2004-10-08 164 8841
100 2004-10-08 164 9210
100 2004-10-08 164 11914
100 2004-10-09 165 9178
100 2004-10-09 165 12017
100 2004-10-09 165 10038
100 2004-10-10 166 7403
100 2004-10-10 166 9564
100 2004-10-10 166 11295
100 2004-10-11 167 7037
100 2004-10-11 167 9264
100 2004-10-11 167 9090
100 2004-10-11 167 8439
100 2004-10-12 168 11072
100 2004-10-12 168 11321
100 2004-10-13 169 7790
100 2004-10-13 169 9901
100 2004-10-13 169 8842
100 2004-10-14 170 7526
100 2004-10-14 170 8015
100 2004-10-14 170 9174
100 2004-10-15 171 8199
100 2004-10-15 171 9011
100 2004-10-15 171 9163
100 2004-10-15 171 7241
100 2004-10-16 172 9119
100 2004-10-16 172 11725
100 2004-10-17 173 7290
100 2004-10-17 173 10599
100 2004-10-17 173 9899
100 2004-10-18 174 7626
100 2004-10-18 174 8889
100 2004-10-18 174 9541
100 2004-10-18 174 6320
100 2004-10-19 175 10081
100 2004-10-19 175 10214
100 2004-10-19 175 8603
100 2004-10-20 176 8535
100 2004-10-20 176 7001
100 2004-10-20 176 6759
100 2004-10-21 177 7728
100 2004-10-21 177 8011
100 2004-10-21 177 8729
100 2004-10-22 178 8752
100 2004-10-22 178 8134
100 2004-10-22 178 12262
100 2004-10-23 179 8005
100 2004-10-23 179 12559
100 2004-10-24 180 11388
100 2004-10-24 180 14891
100 2004-10-24 180 9820
100 2004-10-25 181 6593
100 2004-10-26 182 11263
100 2004-10-26 182 12316
100 2004-10-27 183 13325
100 2004-10-27 183 9858
100 2004-10-28 184 8892
100 2004-10-28 184 8408
100 2004-10-28 184 9219
100 2004-10-29 185 9471
100 2004-10-29 185 8222
100 2004-10-29 185 9738
100 2004-10-30 186 8328
100 2004-10-30 186 11075
100 2004-10-30 186 7822
100 2004-10-31 187 9280
100 2004-10-31 187 8820
100 2004-10-31 187 11381
100 2004-11-01 188 8716
100 2004-11-01 188 9333
100 2004-11-01 188 9253
100 2004-11-01 188 7669
100 2004-11-02 189 12597
100 2004-11-02 189 7747
100 2004-11-02 189 7309
100 2004-11-03 190 10866
100 2004-11-03 190 10326
100 2004-11-03 190 8344
100 2004-11-04 191 9617
100 2004-11-04 191 9712
100 2004-11-05 192 8417
100 2004-11-05 192 7985
100 2004-11-05 192 10317
100 2004-11-05 192 6339
100 2004-11-06 193 9130
100 2004-11-06 193 10869
100 2004-11-06 193 7913
100 2004-11-07 194 15352
100 2004-11-07 194 10885
100 2004-11-08 195 13287
100 2004-11-08 195 8105
100 2004-11-09 196 8417
100 2004-11-09 196 8388
100 2004-11-09 196 9998
100 2004-11-10 197 9036
100 2004-11-10 197 7853
100 2004-11-10 197 8293
100 2004-11-10 197 8375
100 2004-11-11 198 10946
100 2004-11-11 198 8381
100 2004-11-11 198 6937
100 2004-11-12 199 10830
100 2004-11-12 199 10966
100 2004-11-13 200 9618
100 2004-11-13 200 11409
100 2004-11-13 200 7142
100 2004-11-14 201 7364
100 2004-11-14 201 7887
100 2004-11-14 201 9248
100 2004-11-14 201 8402
100 2004-11-15 202 12746
100 2004-11-15 202 9762
100 2004-11-16 203 8114
100 2004-11-16 203 10023
100 2004-11-16 203 8276
100 2004-11-17 204 10002
100 2004-11-17 204 9482
100 2004-11-17 204 11574
100 2004-11-18 205 8114
100 2004-11-18 205 10763
100 2004-11-18 205 7026
100 2004-11-19 206 8074
100 2004-11-19 206 7966
100 2004-11-19 206 11250
100 2004-11-19 206 6713
100 2004-11-20 207 11207
100 2004-11-20 207 9828
100 2004-11-21 208 8911
100 2004-11-21 208 12397
100 2004-11-21 208 7665
100 2004-11-22 209 6836
100 2004-11-22 209 7293
100 2004-11-22 209 9105
100 2004-11-22 209 7931
100 2004-11-23 210 11004
100 2004-11-23 210 9209
100 2004-11-24 211 6111
100 2004-11-24 211 9933
100 2004-11-24 211 10733
100 2004-11-25 212 7151
100 2004-11-26 213 10131
100 2004-11-26 213 14225
100 2004-11-27 214 12093
100 2004-11-27 214 11414
100 2004-11-28 215 12364
100 2004-11-29 216 8492
100 2004-11-29 216 10016
100 2004-11-29 216 7953
100 2004-11-29 216 9602
100 2004-11-30 217 9495
100 2004-11-30 217 9878
100 2004-11-30 217 9432
100 2004-12-01 218 10266
100 2004-12-01 218 10658
100 2004-12-02 219 10257
100 2004-12-02 219 10186
100 2004-12-02 219 9272
100 2004-12-02 219 7940
100 2004-12-03 220 10403
100 2004-12-03 220 9779
100 2004-12-04 221 7363
100 2004-12-04 221 9853
100 2004-12-04 221 9459
100 2004-12-04 221 7154
100 2004-12-05 222 11464
100 2004-12-05 222 9258
100 2004-12-05 222 9022
100 2004-12-06 223 11517
100 2004-12-06 223 11313
100 2004-12-07 224 9267
100 2004-12-07 224 7255
100 2004-12-07 224 10057
100 2004-12-08 225 8417
100 2004-12-08 225 9640
100 2004-12-08 225 8562
100 2004-12-08 225 8826
100 2004-12-09 226 9818
100 2004-12-10 227 11442
100 2004-12-10 227 8550
100 2004-12-10 227 6681
100 2004-12-11 228 12698
100 2004-12-11 228 9880
100 2004-12-11 228 7375
100 2004-12-12 229 10234
100 2004-12-12 229 7118
100 2004-12-12 229 8939
100 2004-12-13 230 10740
100 2004-12-13 230 11107
100 2004-12-14 231 9317
100 2004-12-14 231 9293
100 2004-12-14 231 9660
100 2004-12-15 232 8578
100 2004-12-15 232 8734
100 2004-12-15 232 9685
100 2004-12-15 232 8550
100 2004-12-16 233 9990
100 2004-12-16 233 8213
100 2004-12-16 233 8229
100 2004-12-17 234 8719
100 2004-12-17 234 8094
100 2004-12-17 234 10041
100 2004-12-18 235 5397
100 2004-12-18 235 10819
100 2004-12-18 235 9596
100 2004-12-19 236 7571
100 2004-12-20 237 10195
100 2004-12-20 237 11862
100 2004-12-21 238 8195
100 2004-12-21 238 10669
100 2004-12-21 238 11703
100 2004-12-22 239 9202
100 2004-12-22 239 12107
100 2004-12-23 240 7699
100 2004-12-23 240 7217
100 2004-12-23 240 6494
100 2004-12-24 241 10460
100 2004-12-24 241 8939
100 2004-12-24 241 7662
100 2004-12-24 241 9342
100 2004-12-25 242 9194
100 2004-12-25 242 12682
100 2004-12-26 243 9701
100 2004-12-26 243 12430
100 2004-12-26 243 8370
100 2004-12-27 244 10090
100 2004-12-27 244 8799
100 2004-12-28 245 9638
100 2004-12-28 245 6998
100 2004-12-28 245 9270
100 2004-12-29 246 8619
100 2004-12-29 246 8125
100 2004-12-29 246 9045
100 2004-12-30 247 8988
100 2004-12-30 247 10788
100 2004-12-30 247 10694
100 2004-12-31 248 11458
100 2004-12-31 248 13052
100 2005-01-01 249 7676
100 2005-01-01 249 6677
100 2005-01-02 250 9810
100 2005-01-02 250 9423
100 2005-01-03 251 12560
100 2005-01-03 251 9521
100 2005-01-04 252 8779
100 2005-01-04 252 6640
100 2005-01-04 252 9959
100 2005-01-05 253 6296
100 2005-01-05 253 10313
100 2005-01-05 253 7134
100 2005-01-05 253 7641
100 2005-01-06 254 10707
100 2005-01-06 254 10348
100 2005-01-07 255 13250
100 2005-01-07 255 11680
100 2005-01-08 256 7120
100 2005-01-08 256 9848
100 2005-01-08 256 9956
100 2005-01-09 257 10330
100 2005-01-09 257 11169
100 2005-01-10 258 9790
100 2005-01-10 258 11284
100 2005-01-10 258 9911
100 2005-01-11 259 11980
100 2005-01-11 259 9179
100 2005-01-12 260 7767
100 2005-01-12 260 12134
100 2005-01-12 260 7618
100 2005-01-13 261 6282
100 2005-01-13 261 9145
100 2005-01-13 261 7642
100 2005-01-14 262 7535
100 2005-01-14 262 12886
100 2005-01-14 262 9652
100 2005-01-15 263 11353
100 2005-01-15 263 9812
100 2005-01-16 264 13539
100 2005-01-16 264 11305
100 2005-01-17 265 13228
100 2005-01-17 265 9822
100 2005-01-18 266 5969
100 2005-01-18 266 12878
100 2005-01-18 266 8023
100 2005-01-19 267 9317
100 2005-01-19 267 8505
100 2005-01-20 268 7515
100 2005-01-20 268 7825
100 2005-01-20 268 8038
100 2005-01-21 269 5972
100 2005-01-21 269 8835
100 2005-01-21 269 9492
100 2005-01-22 270 8287
100 2005-01-22 270 6382
100 2005-01-22 270 7788
100 2005-01-22 270 6481
100 2005-01-23 271 6935
100 2005-01-23 271 7988
100 2005-01-23 271 6177
100 2005-01-24 272 9707
100 2005-01-24 272 10683
100 2005-01-25 273 4895
100 2005-01-25 273 8101
100 2005-01-25 273 9677
100 2005-01-26 274 183
100 2005-01-26 274 183
100 2005-01-26 274 10189
100 2005-01-27 275 7611
100 2005-01-27 275 9145
100 2005-01-27 275 7879
100 2005-01-28 276 6503
100 2005-01-28 276 6712
100 2005-01-28 276 5737
100 2005-01-29 277 9594
100 2005-01-29 277 7616
100 2005-01-29 277 6734
100 2005-01-29 277 6734
100 2005-01-30 278 9158
100 2005-01-30 278 8291
100 2005-01-31 279 6463
100 2005-01-31 279 4746
100 2005-01-31 279 9621
100 2005-02-01 280 8952
100 2005-02-01 280 6303
100 2005-02-01 280 9344
100 2005-02-02 281 7479
100 2005-02-03 282 9299
100 2005-02-03 282 7853
100 2005-02-03 282 8702
100 2005-02-04 283 5356
100 2005-02-04 283 11129
100 2005-02-04 283 8724
100 2005-02-05 284 11488
100 2005-02-05 284 6054
100 2005-02-06 285 5999
100 2005-02-06 285 7538
100 2005-02-06 285 8096
100 2005-02-07 286 6943
100 2005-02-07 286 5848
100 2005-02-07 286 9683
100 2005-02-08 287 5041
100 2005-02-08 287 6746
100 2005-02-08 287 7430
100 2005-02-09 288 6239
100 2005-02-09 288 7232
100 2005-02-09 288 6518
100 2005-02-09 288 5757
100 2005-02-10 289 8553
100 2005-02-10 289 6748
100 2005-02-11 290 5708
100 2005-02-11 290 6493
100 2005-02-11 290 6339
100 2005-02-11 290 6101
100 2005-02-12 291 9738
100 2005-02-12 291 5836
100 2005-02-13 292 5624
100 2005-02-13 292 5709
100 2005-02-13 292 6154
100 2005-02-14 293 4420
100 2005-02-14 293 8074
100 2005-02-14 293 5051
100 2005-02-15 294 6030
100 2005-02-15 294 6697
100 2005-02-15 294 5475
100 2005-02-16 295 5797
100 2005-02-16 295 5084
100 2005-02-16 295 8132
100 2005-02-17 296 4179
100 2005-02-17 296 7373
100 2005-02-17 296 5873
100 2005-02-18 297 7971
100 2005-02-18 297 5135
